comparison,metric,n_pairs,mean_apg,mean_other,mean_difference,paired_t_p,wilcoxon_p
APG_AMS vs L2,accuracy,120,0.9266678232667601,0.9259599656597798,0.0007078576069804129,0.32581969489638035,0.51178068206118
APG_AMS vs L2,weighted_f1,120,0.9248442617180461,0.9240202938581763,0.0008239678598698591,0.2649230490986163,0.4197746714530711
APG_AMS vs FullP,accuracy,120,0.9266678232667601,0.9309131539662588,-0.004245330699498593,0.0006159841473118011,0.0007524187260530244
APG_AMS vs FullP,weighted_f1,120,0.9248442617180461,0.9293394631046382,-0.0044952013865920855,0.0006480814553820943,0.0012042704000068529
APG_AMS vs NCA,accuracy,120,0.9266678232667601,0.9443055648898784,-0.017637741623118132,4.351361880550585e-06,4.7305573932729356e-07
APG_AMS vs NCA,weighted_f1,120,0.9248442617180461,0.9429020668388257,-0.018057805120779404,5.336108229699333e-06,5.725015460880654e-07
APG_AMS vs LMNN,accuracy,120,0.9266678232667601,0.9333788750919574,-0.006711051825197172,4.38804184036897e-05,4.126547532682857e-05
APG_AMS vs LMNN,weighted_f1,120,0.9248442617180461,0.9318026022213817,-0.006958340503335434,3.1967261650311254e-05,5.7167496317819745e-05
