dataset,fold,method,accuracy,weighted_f1,runtime_seconds,search_reduction_percent,n_samples,n_features
Digits,4,FullP,0.9777777777777777,0.9777510423588853,0.6517836969999848,0.0,1797,64
Digits,4,APG_AMS,0.9722222222222222,0.9721916367994798,0.32440003700000375,42.22222222222223,1797,64
Digits,4,NCA,0.9888888888888889,0.9887165316577081,0.7209446889999924,,1797,64
Digits,4,LMNN,0.9888888888888889,0.9890388007054673,2.166002705000011,,1797,64
Digits,5,L2,0.9833333333333333,0.9833290433290434,0.03480514200001039,,1797,64
Digits,5,FullP,0.9888888888888889,0.988880308880309,0.6429234320000035,0.0,1797,64
Digits,5,APG_AMS,0.9777777777777777,0.9777691977691979,0.299645857999991,45.77777777777777,1797,64
Digits,5,NCA,0.9833333333333333,0.9833247533247533,1.2284455520000108,,1797,64
Digits,5,LMNN,0.9833333333333333,0.9833247533247533,2.108933185000012,,1797,64
Digits,6,L2,0.9722222222222222,0.9723214899995085,0.004059339000008322,,1797,64
Digits,6,FullP,0.9722222222222222,0.9723214899995085,0.6547519579999914,0.0,1797,64
Digits,6,APG_AMS,0.9722222222222222,0.9723214899995085,0.3004909649999945,45.77777777777777,1797,64
Digits,6,NCA,0.9611111111111111,0.9611743741155504,1.4199823840000079,,1797,64
Digits,6,LMNN,0.9555555555555556,0.955971295971296,2.1179372489999935,,1797,64
Digits,7,L2,0.9722222222222222,0.9720506220506222,0.006828019000010954,,1797,64
Digits,7,FullP,0.9777777777777777,0.9776104676104677,0.6535100929999942,0.0,1797,64
Digits,7,APG_AMS,0.9722222222222222,0.9720506220506222,0.29722916900001906,46.22222222222222,1797,64
Digits,7,NCA,0.9722222222222222,0.9720412849824616,1.940148124000018,,1797,64
Digits,7,LMNN,0.9833333333333333,0.9831703131703132,2.205586113999999,,1797,64
Digits,8,L2,0.9776536312849162,0.9776319809839362,0.015251345999985233,,1797,64
Digits,8,FullP,0.9832402234636871,0.9832185731627072,0.6392404320000082,0.0,1797,64
Digits,8,APG_AMS,0.9776536312849162,0.9776319809839362,0.3024018460000093,45.13966480446927,1797,64
Digits,8,NCA,0.9832402234636871,0.9832310726165474,0.9179121559999999,,1797,64
Digits,8,LMNN,0.9832402234636871,0.9832310726165474,2.1657702919999906,,1797,64
Digits,9,L2,0.9608938547486033,0.9603931153060301,0.007120330000020658,,1797,64
Digits,9,FullP,0.9664804469273743,0.9659703182542486,0.6696692689999963,0.0,1797,64
Digits,9,APG_AMS,0.9608938547486033,0.9603931153060301,0.3057649149999975,44.6927374301676,1797,64
Digits,9,NCA,0.9720670391061452,0.9720288140752711,1.4018288949999942,,1797,64
Digits,9,LMNN,0.9608938547486033,0.960375779287172,2.0553484680000054,,1797,64
Digits,10,L2,0.9720670391061452,0.9726132221243953,0.007484185999999227,,1797,64
Digits,10,FullP,0.9720670391061452,0.9726132221243953,0.646874677999989,0.0,1797,64
Digits,10,APG_AMS,0.9720670391061452,0.9726132221243953,0.30284105100000147,45.13966480446927,1797,64
Digits,10,NCA,0.9832402234636871,0.9833459484297474,1.0002369350000038,,1797,64
Digits,10,LMNN,0.9720670391061452,0.9726132221243953,2.093024258000014,,1797,64
Synthetic20D,1,L2,0.84,0.84,0.002718633999990061,,1000,20
Synthetic20D,1,FullP,0.88,0.879951980792317,0.07096667599998341,0.0,1000,20
Synthetic20D,1,APG_AMS,0.84,0.84,0.01683271199999581,75.2,1000,20
Synthetic20D,1,NCA,0.91,0.90999099909991,0.8124089679999997,,1000,20
Synthetic20D,1,LMNN,0.83,0.8298468621759583,1.1732423960000062,,1000,20
Synthetic20D,2,L2,0.75,0.7493734335839599,0.004334574000012026,,1000,20
Synthetic20D,2,FullP,0.78,0.7796474358974359,0.07122183100000257,0.0,1000,20
Synthetic20D,2,APG_AMS,0.75,0.7493734335839599,0.01649805700000684,74.4,1000,20
Synthetic20D,2,NCA,0.94,0.9399038461538461,0.9475374920000093,,1000,20
Synthetic20D,2,LMNN,0.77,0.7694235588972432,1.1588324930000056,,1000,20
Synthetic20D,3,L2,0.82,0.8197115384615384,0.003869611999988365,,1000,20
Synthetic20D,3,FullP,0.83,0.8295739348370926,0.07070898700001749,0.0,1000,20
Synthetic20D,3,APG_AMS,0.82,0.8197115384615384,0.019031251000001248,70.39999999999999,1000,20
Synthetic20D,3,NCA,0.87,0.8696741854636592,0.8974976979999951,,1000,20
Synthetic20D,3,LMNN,0.85,0.8496240601503758,1.1770042850000095,,1000,20
Synthetic20D,4,L2,0.84,0.8397435897435898,0.0027430610000180877,,1000,20
Synthetic20D,4,FullP,0.86,0.86,0.07085601899999006,0.0,1000,20
Synthetic20D,4,APG_AMS,0.83,0.8298468621759583,0.02040178999999398,68.8,1000,20
Synthetic20D,4,NCA,0.88,0.879951980792317,0.9219861920000199,,1000,20
Synthetic20D,4,LMNN,0.88,0.8795664391810518,1.178866338000006,,1000,20
Synthetic20D,5,L2,0.91,0.9097744360902256,0.0038861559999929796,,1000,20
Synthetic20D,5,FullP,0.92,0.9197109594540345,0.07106184799999937,0.0,1000,20
Synthetic20D,5,APG_AMS,0.91,0.9097744360902256,0.016507488000002013,74.4,1000,20
Synthetic20D,5,NCA,0.98,0.98,1.0076566969999874,,1000,20
Synthetic20D,5,LMNN,0.94,0.9399038461538461,1.216049346999995,,1000,20
Synthetic20D,6,L2,0.88,0.879951980792317,0.003638342000016337,,1000,20
Synthetic20D,6,FullP,0.89,0.8899889988998899,0.07172833499998887,0.0,1000,20
Synthetic20D,6,APG_AMS,0.88,0.879951980792317,0.016844668000004503,73.6,1000,20
Synthetic20D,6,NCA,0.95,0.94999499949995,0.7707930920000194,,1000,20
Synthetic20D,6,LMNN,0.83,0.82998299829983,1.162993704999991,,1000,20
Synthetic20D,7,L2,0.88,0.88,0.0036631290000173067,,1000,20
Synthetic20D,7,FullP,0.89,0.8899009108197379,0.07159480299998222,0.0,1000,20
Synthetic20D,7,APG_AMS,0.89,0.8899889988998899,0.018462108999983684,71.2,1000,20
Synthetic20D,7,NCA,0.93,0.92999299929993,0.8451963760000183,,1000,20
Synthetic20D,7,LMNN,0.91,0.90999099909991,1.156768306999993,,1000,20
Synthetic20D,8,L2,0.84,0.839935974389756,0.003033327999986568,,1000,20
Synthetic20D,8,FullP,0.83,0.82998299829983,0.07119497900001193,0.0,1000,20
Synthetic20D,8,APG_AMS,0.84,0.839935974389756,0.016521991000018943,74.4,1000,20
Synthetic20D,8,NCA,0.9,0.8999599839935974,0.9535073770000224,,1000,20
Synthetic20D,8,LMNN,0.86,0.8594941790445604,1.178970066000005,,1000,20
Synthetic20D,9,L2,0.84,0.8394219189080689,0.003762049000016532,,1000,20
Synthetic20D,9,FullP,0.86,0.859775641025641,0.07131906099999696,0.0,1000,20
Synthetic20D,9,APG_AMS,0.84,0.8394219189080689,0.0197114580000175,68.0,1000,20
Synthetic20D,9,NCA,0.91,0.909918927034331,0.6957128810000199,,1000,20
Synthetic20D,9,LMNN,0.89,0.8897243107769424,1.187428266000012,,1000,20
Synthetic20D,10,L2,0.85,0.8499549954995499,0.0026268060000234073,,1000,20
Synthetic20D,10,FullP,0.86,0.86,0.07044048400001657,0.0,1000,20
Synthetic20D,10,APG_AMS,0.85,0.8499549954995499,0.017898680999991257,72.8,1000,20
Synthetic20D,10,NCA,0.89,0.88996699669967,0.581928199999993,,1000,20
Synthetic20D,10,LMNN,0.86,0.8598879551820728,1.1798575260000064,,1000,20
Synthetic50D,1,L2,0.87,0.869542759521656,0.002674538000007942,,1000,50
Synthetic50D,1,FullP,0.87,0.8699609648683816,0.1093238759999906,0.0,1000,50
Synthetic50D,1,APG_AMS,0.86,0.8598878205128204,0.06056933200000003,34.4,1000,50
Synthetic50D,1,NCA,0.91,0.91000900090009,1.3606743360000166,,1000,50
Synthetic50D,1,LMNN,0.87,0.8698045112781955,1.4687192860000096,,1000,50
Synthetic50D,2,L2,0.74,0.7390606182256123,0.041731451999993396,,1000,50
Synthetic50D,2,FullP,0.77,0.7697928135321789,0.0939755640000044,0.0,1000,50
Synthetic50D,2,APG_AMS,0.75,0.7497747973175859,0.05726919899998961,38.4,1000,50
Synthetic50D,2,NCA,0.82,0.8199279711884754,1.4246410420000188,,1000,50
Synthetic50D,2,LMNN,0.82,0.8197115384615384,1.3824568070000112,,1000,50
Synthetic50D,3,L2,0.76,0.7575757575757575,0.0027177030000018476,,1000,50
Synthetic50D,3,FullP,0.83,0.8295739348370926,0.111485488999989,0.0,1000,50
Synthetic50D,3,APG_AMS,0.8,0.7987117552334944,0.05446770899999365,40.0,1000,50
Synthetic50D,3,NCA,0.87,0.8699869986998701,1.3566261599999905,,1000,50
Synthetic50D,3,LMNN,0.82,0.8193496587715776,1.3651219559999959,,1000,50
Synthetic50D,4,L2,0.91,0.9095568284594512,0.0027512739999906444,,1000,50
Synthetic50D,4,FullP,0.92,0.9197109594540345,0.11149158800000691,0.0,1000,50
Synthetic50D,4,APG_AMS,0.92,0.9197109594540345,0.0536474409999812,41.6,1000,50
Synthetic50D,4,NCA,0.95,0.949954959463517,1.2410173260000192,,1000,50
Synthetic50D,4,LMNN,0.93,0.9299369432489241,1.4223487890000115,,1000,50
Synthetic50D,5,L2,0.84,0.84,0.0027633410000191816,,1000,50
Synthetic50D,5,FullP,0.83,0.82998299829983,0.11088376999998673,0.0,1000,50
Synthetic50D,5,APG_AMS,0.83,0.82998299829983,0.056859255000006215,37.6,1000,50
Synthetic50D,5,NCA,0.89,0.8899889988998899,1.1314391349999937,,1000,50
Synthetic50D,5,LMNN,0.86,0.86,1.3678557769999884,,1000,50
Synthetic50D,6,L2,0.82,0.8197115384615384,0.0032642070000008516,,1000,50
Synthetic50D,6,FullP,0.81,0.8098288459613653,0.11137940800000479,0.0,1000,50
Synthetic50D,6,APG_AMS,0.82,0.8197115384615384,0.05508224199999745,39.2,1000,50
Synthetic50D,6,NCA,0.85,0.8492613807657523,2.5375700310000013,,1000,50
Synthetic50D,6,LMNN,0.88,0.879951980792317,1.401425536000005,,1000,50
Synthetic50D,7,L2,0.81,0.8090644156366192,0.05387990700000955,,1000,50
Synthetic50D,7,FullP,0.81,0.8095238095238095,0.09450301000001105,0.0,1000,50
Synthetic50D,7,APG_AMS,0.81,0.8095238095238095,0.0637334080000187,31.200000000000006,1000,50
Synthetic50D,7,NCA,0.87,0.8698828946051447,0.9849404250000191,,1000,50
Synthetic50D,7,LMNN,0.82,0.8197115384615384,1.4529373160000034,,1000,50
Synthetic50D,8,L2,0.82,0.82,0.03585274700000696,,1000,50
Synthetic50D,8,FullP,0.82,0.8197115384615384,0.0949780379999936,0.0,1000,50
Synthetic50D,8,APG_AMS,0.82,0.8199279711884754,0.05907706799999346,36.0,1000,50
Synthetic50D,8,NCA,0.88,0.88,1.5432289029999993,,1000,50
Synthetic50D,8,LMNN,0.86,0.859775641025641,1.404959023999993,,1000,50
Synthetic50D,9,L2,0.81,0.8084484323016434,0.002743953000020838,,1000,50
Synthetic50D,9,FullP,0.81,0.8084484323016434,0.1113503549999848,0.0,1000,50
Synthetic50D,9,APG_AMS,0.83,0.8279178054458953,0.05694920599998454,37.6,1000,50
Synthetic50D,9,NCA,0.87,0.8699869986998701,0.9609578390000024,,1000,50
Synthetic50D,9,LMNN,0.82,0.8193496587715776,1.4039722779999977,,1000,50
Synthetic50D,10,L2,0.74,0.7383252818035427,0.002800077000017609,,1000,50
Synthetic50D,10,FullP,0.78,0.7792051384985951,0.11151745799998025,0.0,1000,50
Synthetic50D,10,APG_AMS,0.76,0.7584541062801933,0.05763762499998393,36.8,1000,50
Synthetic50D,10,NCA,0.86,0.8599439775910364,1.5265985230000183,,1000,50
Synthetic50D,10,LMNN,0.8,0.7987117552334944,1.4568459399999938,,1000,50
TwoMoons,1,L2,0.98,0.9799919967987194,0.0064866019999954005,,1000,2
TwoMoons,1,FullP,0.98,0.9799919967987194,0.03994585899999947,0.0,1000,2
TwoMoons,1,APG_AMS,0.98,0.9799919967987194,0.00810904100001153,80.0,1000,2
TwoMoons,1,NCA,0.99,0.98999899989999,1.3624585539999998,,1000,2
TwoMoons,1,LMNN,0.98,0.9799919967987194,3.0662129700000094,,1000,2
